separation [$FWHM$],separation [arcsec],PCA (001 components),PCA (002 components),PCA (003 components),PCA (004 components),PCA (005 components),PCA (007 components),PCA (009 components),PCA (011 components),PCA (015 components),PCA (020 components),PCA (025 components),PCA (030 components),PCA (040 components),PCA (050 components),Best
1.0,0.09973695740754035,0.042850377591909336,0.04480825157588873,0.07884427888749798,0.09913669833424127,0.10179027837602789,0.10965717017569485,0.12507512947630672,0.050871026012418996,0.059624983943469725,0.05245898251424805,0.037818046227095795,0.06502378291097007,0.04637125279527857,0.03554038849952283,0.03554038849952283
2.0,0.1994739148150807,0.004203682017407229,0.0037786549297153817,0.002788088361040122,0.004111657147745202,0.004329595480654107,0.005799393537447143,0.003593638710722622,0.0024978604130323793,0.0019691003003993765,0.00153738486904374,0.00212587903895439,0.0023802257599029493,0.0019340610159528046,0.001959507526076089,0.00153738486904374
3.0,0.29921087222262105,0.00022970017875951451,0.00022755172346873196,0.0002323721797971082,0.0002624696322808711,0.0002827904980719153,0.0003881931349060761,0.0003464674443753509,0.00033203536625165943,0.0003824013965160288,0.00040379747625179235,0.0004469503812258419,0.0003965607359325912,0.0005608050669883654,0.0005719595857873086,0.00022755172346873196
4.0,0.3989478296301614,9.422572379197237e-05,9.180468727673374e-05,0.00014314054975103627,0.00015426715138655545,0.00015194334257557889,0.00015370621159307868,0.0001919190154432607,0.00024279515298249166,0.00025073701993079346,0.00024702109463962984,0.00025283069986872277,0.0002954170160043634,0.00035745934638730075,0.0003815809035729803,9.180468727673374e-05
5.0,0.4986847870377018,5.092088615093949e-05,5.5019638364875876e-05,9.124554097095794e-05,9.77318228082002e-05,9.885875720165788e-05,9.584585800338994e-05,9.182259372481424e-05,0.0001380431195799898,0.00017786805020660607,0.00019439004599969086,0.00020347286618430024,0.00019761854503092208,0.00024556891735722766,0.00023069764565505975,5.092088615093949e-05
6.0,0.5984217444452421,6.936148751683165e-05,6.988163560397385e-05,8.410747142819719e-05,8.49259485912336e-05,8.266992675269393e-05,0.00010826704371289013,0.00010670126262088085,0.0001316512894044241,0.00013969517757362097,0.00017250222457783823,0.00018075339391174206,0.00019157120426408663,0.00021281411963676103,0.00022495117020390268,6.936148751683165e-05
7.0,0.6981587018527825,5.296429941849547e-05,5.519976566511776e-05,7.390690537139411e-05,7.669877525968806e-05,8.192457873444502e-05,9.076142589785284e-05,9.750037968359157e-05,0.00010766703783602752,0.00012316040926588884,0.00013765848778726336,0.0001535865126190942,0.00015697506719592887,0.00018413067031837195,0.00019356662421633533,5.296429941849547e-05
8.0,0.7978956592603228,5.913838117228448e-05,5.879476181336441e-05,6.726257373674838e-05,6.791878943718473e-05,7.237325477595716e-05,8.213040466743539e-05,8.900232124922346e-05,9.5866293358858e-05,9.901801165756687e-05,0.00011308702453111706,0.00011546997620485622,0.00012744539370897285,0.00015845523650092296,0.0001811594211683572,5.879476181336441e-05
9.0,0.8976326166678632,4.507905198795052e-05,4.579771780140876e-05,5.771639569161057e-05,5.7575712181082625e-05,5.928407971580832e-05,7.910278208095856e-05,7.83757436422077e-05,8.62573556573398e-05,9.019969454596136e-05,0.00010026190425679041,0.00011716352865909704,0.00012132701722868063,0.00014945572979116508,0.0001740397933352639,4.507905198795052e-05
10.0,0.9973695740754036,4.5338304823206354e-05,4.5359003870012225e-05,5.866321956722114e-05,5.859343894376073e-05,6.196172426967903e-05,7.129266204670655e-05,6.919024088093214e-05,8.627762311819889e-05,9.197408228894265e-05,0.00011592890916900201,0.00011180483364682371,0.00012687962419954415,0.0001432936880604781,0.00015450943285711646,4.5338304823206354e-05
11.0,1.097106531482944,4.907716625022732e-05,5.087700199921306e-05,5.9540305963785465e-05,6.016025928622017e-05,5.751037147683918e-05,6.658071927652205e-05,6.706783088681427e-05,8.13932881824369e-05,9.566536705145801e-05,0.00010971189375653148,0.000124277795222386,0.000130584717632599,0.00016114566529789286,0.00016439964117220452,4.907716625022732e-05
12.0,1.1968434888904842,3.048318001013689e-05,3.132984421863258e-05,3.769300133214651e-05,3.8349067138698784e-05,3.945456328097345e-05,4.345174250732745e-05,4.7785935283497084e-05,4.94886724022918e-05,5.624452365934859e-05,6.204519720174114e-05,7.342072341587322e-05,7.538540111949046e-05,9.29495812388435e-05,9.910461913555042e-05,3.048318001013689e-05
13.0,1.2965804462980246,2.802790458716421e-09,2.889932537223277e-09,3.635278940102983e-09,3.5893161213289433e-09,3.6624038671150184e-09,4.239281851119144e-09,4.760104802809263e-09,5.13351590007302e-09,6.7702623971356585e-09,7.766952812926387e-09,8.252811848373753e-09,1.0102763785677754e-08,1.2195012929411029e-08,1.234875377610763e-08,2.802790458716421e-09
14.0,1.396317403705565,1.0110959106593811e-13,1.0356508457866788e-13,1.1853478376763525e-13,1.1949459239381296e-13,1.0780650384873168e-13,1.302540379168617e-13,1.4917481001045248e-13,1.6802042031446174e-13,2.0047726297103203e-13,2.318829105135196e-13,2.550284044666156e-13,3.026679688247416e-13,3.612613644947868e-13,3.8314194828452044e-13,1.0110959106593811e-13
