separation [$FWHM$],separation [arcsec],PCA (001 components),PCA (002 components),PCA (003 components),PCA (004 components),PCA (005 components),PCA (007 components),PCA (009 components),PCA (011 components),PCA (015 components),PCA (020 components),PCA (025 components),PCA (030 components),PCA (040 components),PCA (050 components),Best
1.0,0.09973695740754035,0.004374399278329947,0.0036619717917361627,0.009067593605900787,0.014581929087182754,0.012543532336868668,0.03576855346328232,0.03677236073334157,0.015351889439201204,0.017505396797240225,0.01648866439176369,0.01111684825734462,0.023368238242861973,0.0076676952451835735,0.008867062015831718,0.008867062015831718
2.0,0.1994739148150807,0.0005547011067027468,0.00046147965366401733,0.0006350982243955288,0.000592465155903234,0.0006064507105988681,0.000663678968204272,0.0004549950653612222,0.00013135090395082166,0.000517977182736015,0.0004173383538200743,0.0002475501242308548,0.00046242503692781045,0.00043849429188370427,0.00047596165019685274,0.0004173383538200743
3.0,0.29921087222262105,1.554613115993048e-05,1.6145755080241363e-05,2.5780237624821255e-05,2.194383039416202e-05,2.0443431885635335e-05,4.031897827842329e-05,3.1935386913435344e-05,3.944189312749384e-05,3.547795786619534e-05,5.083424853545698e-05,6.160688373348235e-05,6.813045129048435e-05,9.896173282554764e-05,7.489412980786838e-05,1.6145755080241363e-05
4.0,0.3989478296301614,6.800453318286252e-06,5.925016375049728e-06,1.6043702811305066e-05,1.107312254145327e-05,1.0724120878253561e-05,2.504659893181311e-05,3.833905008729649e-05,3.934827948998284e-05,6.596462362636139e-05,6.281280445176992e-05,4.925122401839843e-05,5.2150063721269764e-05,6.596888644728563e-05,5.3005517783712483e-05,5.925016375049728e-06
5.0,0.4986847870377018,5.656452213179603e-06,7.956330733988902e-06,1.0338571296533777e-05,1.251453158302316e-05,1.6298532569400478e-05,2.318228406727627e-05,2.2748581715366286e-05,1.4192985472175084e-05,1.5465411378016275e-05,2.6865713948416413e-05,1.3210346170276516e-05,2.1650353773388498e-05,3.267206942233087e-05,3.231201526490551e-05,5.656452213179603e-06
6.0,0.5984217444452421,7.101139149851457e-06,7.540366403623756e-06,9.147791251135561e-06,9.729080614053852e-06,1.2443089727991729e-05,9.79290870781876e-06,1.4157950295299638e-05,1.1735857063130666e-05,7.811184858751323e-06,1.1185248858098417e-05,1.1985237549368212e-05,2.1046615302648284e-05,2.9341455164317657e-05,2.705792551883057e-05,7.101139149851457e-06
7.0,0.6981587018527825,1.201047876901121e-05,1.2737411593190872e-05,1.0855203586176323e-05,1.2478152469718625e-05,1.5906051404352813e-05,1.6823100230779546e-05,1.588277283903174e-05,1.3520598196176038e-05,1.5585313658352567e-05,1.578705329229266e-05,1.86582231236789e-05,1.000208273382816e-05,1.8299851633147286e-05,1.6570678541080852e-05,1.201047876901121e-05
8.0,0.7978956592603228,4.738978896088257e-06,4.326756581031839e-06,5.1799647411930255e-06,4.610589182500204e-06,7.101436053287247e-06,1.0431385051270893e-05,1.102017827527408e-05,1.5027217558656925e-05,1.2444567029229761e-05,1.3265574439173152e-05,1.3782420714169948e-05,2.1954729093440007e-05,1.1352696854131442e-05,1.8279811362876915e-05,4.326756581031839e-06
9.0,0.8976326166678632,5.214349857818607e-06,5.721480648351406e-06,8.650173531018084e-06,9.58366599639263e-06,9.761132220900383e-06,1.1671707223245065e-05,1.1382956116111313e-05,7.710827948006682e-06,9.824036072528102e-06,1.3330108112251013e-05,1.0806699008147071e-05,2.2341486039741e-05,2.1892523557395774e-05,2.4802785212861715e-05,5.214349857818607e-06
10.0,0.9973695740754036,3.585969691280476e-06,3.587257662837831e-06,5.347891870275733e-06,5.815236824304058e-06,7.9818724551488e-06,6.8010510821954175e-06,1.1135490577261086e-05,1.3266885126168355e-05,1.0755450115644696e-05,9.657991252438766e-06,1.2352754431491908e-05,1.5314408695894357e-05,1.926773220362809e-05,1.3749560004129447e-05,3.585969691280476e-06
11.0,1.097106531482944,5.63099883204463e-06,5.36986892191911e-06,4.350734833638502e-06,4.779888982022808e-06,5.83846329770785e-06,8.194157899484283e-06,8.387485773981037e-06,7.816144114971212e-06,1.0952895098587643e-05,1.751852008150433e-05,1.4234130735747423e-05,2.281640259048373e-05,2.4808041143408162e-05,1.950320868707781e-05,5.63099883204463e-06
12.0,1.1968434888904842,4.706693591545734e-06,4.890312689750173e-06,6.335500588238219e-06,6.493761308432837e-06,6.360101478758349e-06,8.009126830355345e-06,7.297687856591325e-06,1.0464848863093539e-05,1.2229351050398726e-05,1.3343013974922128e-05,9.880502573552728e-06,9.36322135506706e-06,9.753084719865136e-06,1.1250547581120274e-05,4.706693591545734e-06
13.0,1.2965804462980246,3.949128824569622e-10,4.5161403552144177e-10,4.931467081545794e-10,4.811612058603463e-10,3.296361139982668e-10,6.327465286417003e-10,5.746965766715404e-10,6.882258932938914e-10,1.4141298623035373e-09,1.3646931209333815e-09,1.4362582560208115e-09,1.384830856872834e-09,7.934374607159417e-10,1.6053438450674911e-09,3.949128824569622e-10
14.0,1.396317403705565,1.4038954148466319e-14,1.442524510942143e-14,1.437990033261895e-14,1.5122107420075856e-14,1.1546283516213366e-14,7.48737915535621e-15,1.671705844652707e-14,2.157981883683857e-14,2.2872350270694377e-14,2.3173600112591478e-14,1.9803500104984742e-14,2.863787598878348e-14,2.976235630824781e-14,4.766731136690511e-14,1.4038954148466319e-14
