separation [$FWHM$],separation [arcsec],PCA (001 components),PCA (002 components),PCA (003 components),PCA (004 components),PCA (005 components),PCA (007 components),PCA (009 components),PCA (011 components),PCA (015 components),PCA (020 components),PCA (025 components),PCA (030 components),PCA (040 components),PCA (050 components),Best
1.0,0.09973695740754035,0.020391692351077836,0.0171051603637368,0.04072160123143295,0.06888740044206784,0.05926067139653726,0.16658883364238053,0.1733945324327376,0.06901404896131544,0.08237856671809624,0.07997134275575822,0.05476478242154495,0.11629846976502614,0.03816893291450951,0.04443911313623465,0.04443911313623465
2.0,0.1994739148150807,0.002541355739823366,0.0021149225135816303,0.002962259870822055,0.002762229782595226,0.002821921422558493,0.003051305418207629,0.0021041468834319867,0.0005981339530408726,0.002356074923456364,0.0018848558898065413,0.0011512355381434296,0.00215217052358627,0.0020386837838920003,0.002195821051920126,0.0018848558898065413
3.0,0.29921087222262105,6.997590135627532e-05,7.279469039101502e-05,0.00011937288069243225,0.00010179643214435494,9.487359974822459e-05,0.00018871505647641317,0.00014883291294438133,0.0001865448285441534,0.00016577501568963823,0.00023391455512603064,0.00028268066054423346,0.0003132296060662067,0.0004533135290862712,0.00034411588430293414,7.279469039101502e-05
4.0,0.3989478296301614,3.065637436451744e-05,2.671887077976211e-05,7.398830172245717e-05,5.104935824149778e-05,4.928808303877169e-05,0.00011484005257723798,0.00017473641028965586,0.00018200769804493846,0.00030444282687311006,0.0002911673930412773,0.0002286796352119294,0.0002413058374239346,0.0003025577847837788,0.00024346783382393137,2.671887077976211e-05
5.0,0.4986847870377018,2.542255052810031e-05,3.5781778506848574e-05,4.752497925367149e-05,5.77013101962192e-05,7.497435145971195e-05,0.00010670271645482762,0.0001047192944979416,6.494409208738063e-05,7.184130113217622e-05,0.00012506216443031355,6.165641470811235e-05,0.00010102074199717947,0.00015281694712527584,0.00015020236591039264,2.542255052810031e-05
6.0,0.5984217444452421,3.158016426374054e-05,3.357219078186762e-05,4.1795749846937515e-05,4.455729730818342e-05,5.691617783618142e-05,4.5040243710023885e-05,6.514219764453178e-05,5.4518772370224346e-05,3.6322373355121595e-05,5.172508911611723e-05,5.546900859323029e-05,9.745974812693566e-05,0.0001362596125518627,0.00012419759587707375,3.158016426374054e-05
7.0,0.6981587018527825,5.2851133969618005e-05,5.61363668481187e-05,4.924549327570729e-05,5.672449404987739e-05,7.228717873640126e-05,7.724144452770089e-05,7.290448310145944e-05,6.279027097281885e-05,7.247259756329856e-05,7.337373933704195e-05,8.69118375748432e-05,4.661204218996384e-05,8.532079888271985e-05,7.636170314840115e-05,5.2851133969618005e-05
8.0,0.7978956592603228,2.0684496676106676e-05,1.8919793048212725e-05,2.3361190670170796e-05,2.083585017086906e-05,3.210182800958476e-05,4.7766499416327225e-05,5.0383495826476484e-05,6.954111365722949e-05,5.7664066150800246e-05,6.152212722301213e-05,6.390351330182295e-05,0.00010151673939314874,5.243540529267321e-05,8.361257419490695e-05,1.8919793048212725e-05
9.0,0.8976326166678632,2.2648748229056164e-05,2.489764271444612e-05,3.885107914735367e-05,4.3117321372056e-05,4.39480202558797e-05,5.329808661890857e-05,5.189464435148024e-05,3.556590655331694e-05,4.5451209153247085e-05,6.178978767654205e-05,5.008711139914591e-05,0.0001031102273105126,0.00010111201564178224,0.00011416200846716676,2.2648748229056164e-05
10.0,0.9973695740754036,1.5524803587034055e-05,1.5563010296115495e-05,2.3971200426412383e-05,2.6110838048958875e-05,3.5846491685989214e-05,3.096365295135399e-05,5.065887704368838e-05,6.102424082554561e-05,4.967115394245291e-05,4.472359072465529e-05,5.721691845948399e-05,7.037157561263921e-05,8.849724517256036e-05,6.253571775752465e-05,1.5524803587034055e-05
11.0,1.097106531482944,2.4318210424779225e-05,2.3238905481152267e-05,1.9439264528256262e-05,2.1395407628442754e-05,2.6114977942498223e-05,3.712203847239316e-05,3.802401096692862e-05,3.583250878222706e-05,5.0485714883592985e-05,8.111653268208844e-05,6.594488386448477e-05,0.00010474270419564213,0.00011390308452012213,8.87151688415015e-05,2.4318210424779225e-05
12.0,1.1968434888904842,2.0311184998007503e-05,2.1147292614760716e-05,2.8267213014290565e-05,2.9026362734287e-05,2.8389200668301856e-05,3.615165567895857e-05,3.300294579296056e-05,4.7872499800591625e-05,5.6255896534381465e-05,6.162516614053286e-05,4.563401791289696e-05,4.2936152344830094e-05,4.497695648538171e-05,5.163334891350842e-05,2.0311184998007503e-05
13.0,1.2965804462980246,1.7025731659787e-09,1.951092996575375e-09,2.1967632011408553e-09,2.1473015405081317e-09,1.4687430408541235e-09,2.8471079772408305e-09,2.593176035501431e-09,3.1411063325509044e-09,6.496728020639076e-09,6.284710723671739e-09,6.605454066319362e-09,6.322820339901499e-09,3.6382448795804704e-09,7.3365150151895266e-09,1.7025731659787e-09
14.0,1.396317403705565,6.043269915501203e-14,6.22269040466131e-14,6.392224455863198e-14,6.734403850513971e-14,5.1344701829749767e-14,3.3613009353217206e-14,7.531657247825884e-14,9.834344558103641e-14,1.0506248649703026e-13,1.0662175769142624e-13,9.098454053918201e-14,1.3071405127392476e-13,1.364043389232964e-13,2.1806579413804706e-13,6.043269915501203e-14
