separation [$\lambda/D$],separation [arcsec],pca_005,pca_010,pca_015,pca_020,pca_025,pca_030,pca_035,pca_040,pca_050,pca_060,pca_070,pca_080,pca_090,pca_100
2.0,0.20357999999999998,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2.5,0.254475,0.0072046992682080575,0.009404886815864618,0.00402721119063766,0.0044743097947656345,0.00368850831521844,0.003912871560687618,0.003961375377619749,0.0033638353240212394,0.0026459121621829214,0.008743005300069289,0.0070643962134354,inf,inf,inf
3.0000000000000004,0.30537000000000003,0.0031945927698888072,0.003361407204206077,0.0026452104057121577,0.0018103496307383554,0.0020590482027719337,0.0026305358205078876,0.0024784227914039,0.0023494822642445737,0.0017936068493821474,0.002135864658059807,0.0022496313322226467,0.0021805002387218233,0.001929518227012971,0.0018499128415726735
3.5,0.356265,0.0016970523118087207,0.001667440792959716,0.0014278860631436272,0.0010676552216454843,0.000993366242043408,0.001078328373559127,0.0010576330760647967,0.0009943401994329322,0.0008110994540428351,0.0008744080390068585,0.0009306906884119436,0.0008533149040433577,0.0009737345691612229,0.0011261821814329686
4.0,0.40715999999999997,0.0014169964146236568,0.001385098763217591,0.0012835852220976114,0.0007340574753899678,0.0006894119999233159,0.0006466332177000975,0.0007375163757112615,0.0007986514828663086,0.0007833930133200753,0.0006664709493220208,0.0007383428409274996,0.0007682165966489766,0.0008675348665819327,0.0010056725646043596
4.5,0.458055,0.0011095606470466171,0.001136100250024118,0.0012139765123161863,0.000507888413993868,0.00046130255920582647,0.0004711095121235933,0.0005051787842906472,0.0005326480316179914,0.0005290144360416989,0.0005516082355895913,0.0006388663376196698,0.0006185727603794574,0.0006568134196112103,0.0006639418162101784
5.0,0.50895,0.0009552859275345634,0.0009635782397837911,0.0009185774147277393,0.00045030405053313383,0.00041983343576755593,0.00039684654042320176,0.00038555948019551643,0.000387924660522113,0.00047857221418068173,0.0004917227386055759,0.0005300874525246358,0.0005323537604611547,0.0005309513447144199,0.0005894497263927541
5.5,0.5598449999999999,0.0006914163414053231,0.0007124179489705176,0.000642946458067824,0.00046451556080257054,0.0004511542514812188,0.00043403208742398,0.0004287556264368033,0.0004478257388599673,0.00047577002581609734,0.0005120744524993829,0.0004955710123891183,0.0004815966781531705,0.0005136389040599398,0.000503361855536328
6.000000000000001,0.6107400000000001,0.0005996170561285574,0.0005998424239247766,0.0005438234559589951,0.0003792452752474095,0.00035282824750702786,0.00038093403842373764,0.00040761317245221497,0.00042943855508424965,0.0004396746667950097,0.00043700684595521846,0.0004067431140775803,0.000416318604784736,0.0004633328216213041,0.0004580982797938037
6.5,0.661635,0.0005472522277770415,0.0005545873305446519,0.0004924551599681268,0.00032502630592418487,0.0003142407461083365,0.0003009744839802104,0.00034299274607724466,0.0003365315044623872,0.00034828738289831773,0.0003446724231642666,0.0003390752809683797,0.00036908378620608806,0.0003827769546959146,0.00040047130460433964
7.0,0.71253,0.0004811426792856433,0.0004941453282981679,0.00042694293408602216,0.0003408462596673801,0.00030589761123412475,0.00027819367031140126,0.00027869838054726944,0.0002813061644011073,0.00033964789787412487,0.0003301092688352214,0.0003482668532726653,0.00032732872208788644,0.0003228471143640811,0.0003410748783061014
7.5,0.763425,0.0004258307596297321,0.00042949235025073446,0.0003681250456573973,0.000329608587407817,0.0003262812471072599,0.00032120988860975195,0.000305154714869328,0.00032644476901012474,0.0003515644443313664,0.0003477770676348186,0.0003614432827805902,0.00037291080885042225,0.0003682281331236521,0.00037833261121108494
8.0,0.8143199999999999,0.0003705443271668609,0.00035140646390343614,0.0003263461651144723,0.0002907748655294157,0.0002826191925062739,0.000272922936901165,0.00028971198513689996,0.00031760439378307795,0.00032392891060099166,0.0003190750925600396,0.00031274623864056773,0.0003139537659316455,0.00032792499136098115,0.00032645198509894036
8.5,0.8652150000000001,0.00041248961154018957,0.0003622431310380127,0.00032790324589459754,0.0002666868649277959,0.00026137209400048015,0.0002641912452621509,0.00028311315656918024,0.00030031213227989896,0.00031123361210639693,0.000300389589699428,0.000288633848682461,0.0002917470443806701,0.00029186314986356807,0.00031365549211964634
9.0,0.91611,0.0003064480670594564,0.0002793748106886006,0.00027008224285878863,0.00022563161575241207,0.00022894246774856006,0.0002315073397728094,0.00023287087076178818,0.0002337786082377983,0.0002890275629235388,0.0002657942763466333,0.0002756959843468859,0.0002664943621448709,0.00026659648916809646,0.0002820886746617603
9.5,0.967005,0.0003038354771786026,0.0003020742320801057,0.0002881069000248254,0.0002661195773787663,0.0002719633828183229,0.0002779047973606593,0.00028308186744459486,0.0002825192541523172,0.00028399484264031465,0.0002989147015749012,0.0002867747154706038,0.0003046604532202326,0.00029276345685059314,0.00030995888596116786
10.0,1.0179,0.00023923988161439233,0.0002484871844994529,0.0002375465764790252,0.00022272447698284462,0.00022941529072204782,0.00022341315884514848,0.0002460639498331894,0.0002518938714080113,0.00022414030084728828,0.00025648998317490584,0.0002751642696065794,0.0002866205052977044,0.0002916159437427592,0.00031715305656417455
