separation [$FWHM$],separation [arcsec],PCA (005 components),PCA (010 components),PCA (015 components),PCA (020 components),PCA (025 components),PCA (030 components),PCA (040 components),PCA (050 components),PCA (060 components),PCA (070 components),PCA (080 components),PCA (090 components),PCA (100 components),Best
1.0,0.10189984513499846,0.14005562308492187,0.1184520533798343,0.05824194033872465,0.15593503880119777,0.07840008970205199,0.10292899285734482,0.17107510651371322,0.1738697051213926,0.11525960727433493,0.08487166934885809,0.10206313256098828,0.0944096896075991,0.1153044259475491,0.05824194033872465
2.0,0.20379969026999692,0.0065167002330229415,0.006492523508986413,0.004230700193621666,0.004692299643988167,0.005056896705846342,0.004317568749908752,0.004407479426474219,0.00422254318177866,0.0054606327271565485,0.005754215082127076,0.005254772704251566,0.005488123419624534,0.005371066712474653,0.00422254318177866
3.0,0.3056995354049954,0.0017960798197293212,0.001702848228593606,0.0013195858736868148,0.001037720539898533,0.0010180679116978428,0.001249307996690401,0.001243824315387341,0.0011101834026309835,0.0012239790197112656,0.0013100287923564356,0.0012935971755426974,0.001176643070766857,0.0011811487807380902,0.0010180679116978428
4.0,0.40759938053999384,0.0009052232257030746,0.0009102579826927289,0.0008519023164573617,0.0005071947127279144,0.0004811298974465337,0.00045743668867168844,0.0005060998074920648,0.0005357258934771446,0.0004577599167080404,0.0005244258721514882,0.0005369314345229235,0.0005565100121361223,0.0006485778557532049,0.00045743668867168844
5.0,0.5094992256749923,0.000606725399077824,0.0006161332056359783,0.0006000277615641608,0.00032448802501673917,0.00031806054226113167,0.00031661996651636203,0.00029890041381627026,0.00036460938472951903,0.0003789863270699173,0.00040625873506732477,0.0004041511994412374,0.0004100824668297389,0.0004549292468289125,0.00029890041381627026
6.0,0.6113990708099908,0.00044479297624608924,0.00045242499521970286,0.00041626259939590306,0.00032157192931993913,0.00030686837816803645,0.0002988026326990891,0.0003275338048670558,0.0003251965777691093,0.00033184795620052113,0.0003130310531172159,0.0003122856430954064,0.0003287732987826194,0.0003238033271362713,0.0002988026326990891
7.0,0.7132989159449892,0.00037311089544033544,0.00038270727905979614,0.00033494499741330196,0.0002485391336048903,0.00024726301847930756,0.00024323999645507044,0.00023072608792473225,0.0002410336027060586,0.00024314085793516148,0.0002580042938962112,0.00024906395125241836,0.0002528202270659799,0.00025647897373015996,0.00023072608792473225
8.0,0.8151987610799877,0.0003195038400631921,0.0003034578893849801,0.0002721551296889078,0.00023641233158094965,0.00024159989891114702,0.00023079918207721546,0.00024248747044361738,0.0002524794940254149,0.00024132690361293186,0.00023396362811622636,0.00024275170521771813,0.00023584709510635115,0.00024164107529936474,0.00023079918207721546
9.0,0.9170986062149861,0.0002837728588507631,0.0002695570892581987,0.0002389338039139665,0.00021851106827615422,0.00021499537948915516,0.00021571727198617586,0.00023140923432308778,0.0002271519711930308,0.00021636771843005492,0.00022421603426084054,0.0002333869663706244,0.0002364343528162409,0.00024184142800005967,0.00021499537948915516
10.0,1.0189984513499846,0.00020422659903645884,0.00020973191671385283,0.00021034817495643715,0.00019928694460791664,0.0002109857054947282,0.00020070144670711,0.00022939414218780882,0.0002217467567843806,0.00023384797619870073,0.00023835506709791852,0.0002376712351053661,0.00021968662916506393,0.00023205880226607963,0.00019928694460791664
