separation [$FWHM$],separation [arcsec],PCA (005 components),PCA (010 components),PCA (015 components),PCA (020 components),PCA (025 components),PCA (030 components),PCA (040 components),PCA (050 components),PCA (060 components),PCA (070 components),PCA (080 components),PCA (090 components),PCA (100 components),Best
1.0,0.10189984513499846,0.01303522715155582,0.013741522812450488,0.014108127630489523,0.016085556321647154,0.021451412261326137,0.030891220998186614,0.06611201744879773,0.03996231565351056,0.017989323499050663,0.011785887129023141,0.018794442059682205,0.026127525973651616,0.02334073211970869,0.014108127630489523
2.0,0.20379969026999692,0.0009280941742426047,0.0010745295430729276,0.00041996613477335884,0.0003064558879978573,0.0001553363585713322,0.0003936328711533889,0.0006867251159861651,0.00031732786010711667,0.0016434605462400625,0.0007937022957716037,0.0009430319640540315,0.0021765927997286555,0.002028698902105521,0.00031732786010711667
3.0,0.3056995354049954,0.00022334371215094453,0.0001552959511687106,0.00011703392695567802,6.581438491589351e-05,0.0001269296208683381,0.0001851943382513375,0.00019528997114262679,0.00012812983869514745,0.0001620035655792735,0.00011123634807954144,0.00011295008176425011,0.00011504060452326051,8.165076708811542e-05,0.0001269296208683381
4.0,0.40759938053999384,7.700884090616582e-05,8.664835145878117e-05,7.439722422556008e-05,3.466273462581279e-05,4.341528177555348e-05,6.439093588755408e-05,5.178595754711207e-05,5.7001585264707675e-05,3.58046706729597e-05,6.40072743432772e-05,6.814328679467441e-05,6.00976929547248e-05,7.029540833684335e-05,6.439093588755408e-05
5.0,0.5094992256749923,5.89408808902415e-05,5.3903373492339814e-05,5.169544392780368e-05,2.7106181418156533e-05,2.376971134794643e-05,2.8327309650276477e-05,3.512268472063003e-05,5.110674693448194e-05,5.194071688927724e-05,4.176512094315911e-05,4.7043597994654015e-05,3.728643426649704e-05,4.677084478594499e-05,3.512268472063003e-05
6.0,0.6113990708099908,4.2013037990588735e-05,4.320523477699913e-05,4.753504179104919e-05,3.0025210395384774e-05,3.346186141672136e-05,3.429882303406358e-05,3.3347267720191615e-05,4.616107286924584e-05,4.560199316527147e-05,4.3736127450444e-05,4.039913038085411e-05,5.2237984943390934e-05,4.0069972673648736e-05,3.429882303406358e-05
7.0,0.7132989159449892,3.8979151633843334e-05,4.1947642204004354e-05,3.5476084926790695e-05,2.5371141697888962e-05,3.168629826036482e-05,3.757908437283038e-05,4.1127901853979274e-05,5.0180529634722375e-05,4.412803314955398e-05,3.606391294304944e-05,3.717329940991634e-05,3.544671677628043e-05,4.014160575907617e-05,4.1127901853979274e-05
8.0,0.8151987610799877,3.073312450895208e-05,2.997289808525337e-05,2.621512775086588e-05,2.2070946829152934e-05,2.5881186879456224e-05,3.1644660872002085e-05,2.1975179548340394e-05,1.5185004506657076e-05,1.9685103546132767e-05,2.1178039139255618e-05,2.5756932497134714e-05,2.8064946838123647e-05,2.4905363598936515e-05,3.1644660872002085e-05
9.0,0.9170986062149861,2.646959824100019e-05,2.7837577571000478e-05,2.903220463835383e-05,2.1930666414329673e-05,2.2061681388237125e-05,2.3827257973289853e-05,2.5335027537835673e-05,1.7575029676229648e-05,2.5337321065965296e-05,2.4716477299470643e-05,3.265723976375286e-05,3.339471010442521e-05,2.9927233545812057e-05,2.2061681388237125e-05
10.0,1.0189984513499846,3.3850492694213955e-05,3.0815503536895335e-05,3.130788606179738e-05,2.2214561779834892e-05,2.6682860041017298e-05,2.581690333258824e-05,2.8862612675830516e-05,2.086010847462441e-05,2.3022549330949568e-05,2.896325057534475e-05,2.7465757548979393e-05,2.1869337562462835e-05,2.2981746280856667e-05,2.2214561779834892e-05
