separation [$\lambda/D$],separation [arcsec],pca_002,pca_004,pca_006,pca_008,pca_010,pca_012,pca_014,pca_016,pca_018,pca_020,pca_022,pca_024,pca_026,pca_028,pca_030
3.0,0.1638,0.0005905555716567007,0.00034307963186532486,0.00025599224451865974,0.00031580841603924125,0.00032713191405661163,0.0003898570488250299,0.00020160528115964043,0.0001926961709332962,0.00019554679003097887,0.00015303465358752216,0.0002027329346007199,0.00019155093768087066,0.0001829135430937418,0.00018556337743037805,0.00021373454936955645
4.0,0.2184,0.000156301877198846,7.728668647275951e-05,7.27735334136007e-05,9.053538584600386e-05,0.00010501013607028807,0.00010929916361154133,7.87972564414022e-05,8.4244493888106e-05,8.456789628695217e-05,7.346476032626473e-05,7.654708976015077e-05,7.217437942444437e-05,6.81297245901581e-05,6.806850824743825e-05,6.795675492443647e-05
5.0,0.27299999999999996,7.288515180030817e-05,4.2463406188018086e-05,3.680492744324107e-05,4.234717336000578e-05,4.8499056031856554e-05,5.410060642134999e-05,3.599710345990342e-05,3.6448961728940945e-05,3.828279016993081e-05,3.7832721015744566e-05,4.061622990556822e-05,3.026803872855534e-05,3.157960542810579e-05,3.160358132354861e-05,3.0412455260429672e-05
6.0,0.3276,4.7762481126858387e-05,3.430131227684618e-05,3.560668573841995e-05,3.352521142374319e-05,3.405953639636632e-05,3.492563758681379e-05,2.9110942339806417e-05,2.8847664604472367e-05,2.574500678933102e-05,2.1245283329405646e-05,2.116294608737004e-05,1.9513038000988042e-05,1.8259532811923223e-05,1.8390776418856106e-05,1.814807054700545e-05
7.0,0.3822,4.322291329722714e-05,3.095664527725735e-05,3.060488033798924e-05,2.789697065259453e-05,2.475516319285475e-05,2.412278146325349e-05,2.1153592084890054e-05,2.3291902699706225e-05,2.4538690886437396e-05,2.188221798716568e-05,2.1342560895677624e-05,2.2040961868897806e-05,2.110781720203406e-05,2.093249136954191e-05,2.1088540500380295e-05
8.0,0.4368,2.387134986013415e-05,1.7097382703076765e-05,1.8539894910451323e-05,1.9352099429459695e-05,1.9409649279244755e-05,1.9783617026175295e-05,1.5724643080884294e-05,1.548468552888997e-05,1.5506835882229963e-05,1.3057809123117296e-05,1.2938094290332453e-05,1.5720704212983007e-05,1.455952354711914e-05,1.4343051462033353e-05,1.3923202632923365e-05
9.0,0.49140000000000006,8.721993137156164e-06,6.857882442547291e-06,7.393867589095876e-06,7.063221877718105e-06,7.866828741285294e-06,8.829460051114543e-06,8.40260840985504e-06,8.360243410642663e-06,8.254837277571288e-06,8.732217432620305e-06,8.524837920870086e-06,8.58876923016601e-06,9.368743991867179e-06,9.772691514480359e-06,1.0201419542010537e-05
10.0,0.5459999999999999,1.0491322101852133e-05,7.157102792636773e-06,7.278248206401344e-06,6.707162469998371e-06,7.151620397850351e-06,7.668691811100726e-06,7.268119536853893e-06,7.164225631878214e-06,7.171936829502133e-06,7.19066832027288e-06,7.265656491570767e-06,7.292419821850168e-06,7.650293265649625e-06,7.665132818055869e-06,7.4877834229239545e-06
11.0,0.6006,9.590502918706413e-06,6.588431255000089e-06,6.6322673063251884e-06,6.49904004336306e-06,6.774162819400773e-06,7.405480957912058e-06,6.999703514963423e-06,7.442678713707617e-06,7.531829442468745e-06,7.573288115492951e-06,7.754433743137929e-06,8.050011592834732e-06,8.100527645442554e-06,7.962937390927786e-06,7.753576737951652e-06
12.0,0.6552,1.0899491509372502e-05,8.233151661792122e-06,8.482356642588604e-06,8.841503975203903e-06,9.251985985201705e-06,9.466167310570685e-06,9.306272578727837e-06,9.832786121431574e-06,1.0021792372170488e-05,9.995980490446704e-06,1.0056558920699697e-05,9.932399904121839e-06,1.0221659493231273e-05,1.0526011066202285e-05,1.009694996622588e-05
13.0,0.7098,8.663578955629047e-06,7.780818611136666e-06,7.2794281217339515e-06,7.779270821419147e-06,8.49436520708798e-06,9.018696146682186e-06,9.060057566317352e-06,9.398890134506269e-06,9.048249272379028e-06,9.225709279440843e-06,8.90308561142732e-06,8.646551585756253e-06,8.447988748124263e-06,8.45141303483679e-06,8.315518228041037e-06
14.0,0.7644,6.392795407848174e-06,5.138499408083787e-06,5.8295249532139335e-06,6.257919848964951e-06,6.421262255514314e-06,6.386957191199271e-06,6.516830330577853e-06,6.837347215507825e-06,6.944222723732821e-06,7.310065425260545e-06,7.299515973902175e-06,7.262498590085217e-06,7.23568512591742e-06,7.214497017434516e-06,7.177593456552981e-06
15.0,0.819,9.663351678841446e-06,9.943310412542666e-06,1.0275425428352888e-05,1.0298543619184378e-05,1.0758661208820643e-05,1.0875264702861711e-05,1.1351526178885833e-05,1.1718582149960279e-05,1.186533144548597e-05,1.1769723783410557e-05,1.1505456662413336e-05,1.1054213379857352e-05,1.0643151081128798e-05,1.0619572302095857e-05,1.0901981419281497e-05
16.0,0.8736,9.615267765661232e-06,6.8768576941869396e-06,7.297687517191494e-06,7.1479326892136176e-06,7.237284739254348e-06,7.7118129490291e-06,7.717383593909303e-06,7.691440522366393e-06,7.591389595895862e-06,7.379390079018531e-06,7.23568512591742e-06,7.019588378831091e-06,6.823406329367071e-06,6.741846012613228e-06,6.7171527931814175e-06
