separation [$FWHM$],separation [arcsec],PCA (002 components),PCA (004 components),PCA (006 components),PCA (008 components),PCA (010 components),PCA (012 components),PCA (014 components),PCA (016 components),PCA (018 components),PCA (020 components),PCA (022 components),PCA (024 components),PCA (026 components),PCA (028 components),PCA (030 components),Best
1.0,0.05463501941081627,0.47083872949919736,0.3529930396137304,0.37607396901308976,0.3314176974422763,0.3267180981570014,0.2848898159877507,0.5148802485918544,0.42694934511854493,0.5212040169930798,0.6607085278610785,1.057671954980778,0.7622384763882586,1.3856475770450878,1.700295712566598,1.8935891292163167,0.2848898159877507
2.0,0.10927003882163254,0.03679863588069663,0.02161670678961646,0.013261934089800061,0.015138780484788672,0.01634386342582895,0.0207675979784093,0.016547176404037488,0.01050696110341441,0.01240230870464824,0.011919259204473402,0.018503223323924775,0.01493720672875761,0.01747977336136077,0.013984450694793281,0.022528938341925757,0.01050696110341441
3.0,0.16390505823244883,0.005830811692142309,0.0029132419590573453,0.0023769428277491686,0.003013156756136675,0.0031484740864904884,0.003621502490515886,0.002042035281117637,0.0020446245910570883,0.0020952029685489537,0.0016042343956412556,0.0020967418434534087,0.0017979204024893025,0.001997193629897108,0.001848076894280052,0.0022559525005518173,0.0016042343956412556
4.0,0.21854007764326508,0.0016922604247613365,0.000788209379438225,0.0007023396821047943,0.0009618922073991405,0.001087759073499908,0.001189453739990509,0.0007850300401073462,0.0008794380803444312,0.0009178669431765505,0.0007978470333892568,0.000845125401496867,0.0008314240817415646,0.0008703938244250279,0.0008349920097768652,0.0008578577288258543,0.0007023396821047943
5.0,0.2731750970540814,0.0008030395543009651,0.00046245803550551585,0.00040165091145608284,0.00047944299715513164,0.0005187362991964018,0.0005700582135121983,0.0004230218439521565,0.00043225601759461327,0.0004298483081713202,0.0004313248403220201,0.0004164045564798743,0.00036820558730634405,0.0003672224757120911,0.00042177490780043273,0.000411974997698015,0.0003672224757120911
6.0,0.32781011646489766,0.0004789147689766973,0.00035630622217777165,0.00035702252361346414,0.0003599341758575435,0.00037278054161794235,0.00038059871954686686,0.00033700607919062394,0.00034306180117208015,0.00032703514888062353,0.0003267785851598854,0.00030687279939644316,0.00028193298381456533,0.00028565941441336355,0.000253258355543081,0.0002483304123306255,0.0002483304123306255
7.0,0.3824451358757139,0.0004255350763127516,0.00033616371082916083,0.00031612588548077063,0.0002872922159571792,0.0002733978335038678,0.00023232652990430296,0.00017742266346064162,0.00020111722881076122,0.00022183403925609888,0.00023987160973825507,0.00023639343854633203,0.000250156950345081,0.0002516787701185521,0.0002504169090991405,0.0002453539972994015,0.00017742266346064162
8.0,0.43708015528653016,0.00026315327631928117,0.00018169659817652702,0.00019943747370751045,0.0002024786236972652,0.0002039385856486932,0.00020438843433768253,0.00018405565619872765,0.0001751075323885454,0.00017367528318353444,0.00016188130911350227,0.0001467629563984616,0.00015794536211102638,0.00014910344536601917,0.0001537172495122006,0.00014904257616617234,0.0001467629563984616
9.0,0.4917151746973465,0.00010981483363751407,9.30346330767743e-05,9.393132167018412e-05,9.928555703300046e-05,0.00010836629114102277,0.0001218642653670572,0.00011988545848627162,0.0001224667971597505,0.00012446472836936696,0.00013710572372790437,0.00013594083398398412,0.00013094396275478611,0.00013127657509050356,0.00013794564659727225,0.00013772786207684123,9.30346330767743e-05
10.0,0.5463501941081628,0.0001335351648202949,9.802886426325865e-05,8.839548446815755e-05,8.996574002446351e-05,9.984433287773906e-05,0.00010769485530964088,9.565220154328359e-05,9.502491519120837e-05,9.420954021537592e-05,9.388477873370276e-05,8.929125825698734e-05,8.902624271600365e-05,8.648021556237119e-05,8.914086343969824e-05,9.048021757991569e-05,8.648021556237119e-05
