separation [$FWHM$],separation [arcsec],PCA (002 components),PCA (004 components),PCA (006 components),PCA (008 components),PCA (010 components),PCA (012 components),PCA (014 components),PCA (016 components),PCA (018 components),PCA (020 components),PCA (022 components),PCA (024 components),PCA (026 components),PCA (028 components),PCA (030 components),Best
1.0,0.05463501941081627,0.053508664316059495,0.1338330721129558,0.03844684680583199,0.07292593435989395,0.047510039023047734,0.09516196773394474,0.06589558105554338,0.052544062241522055,0.08231931370364182,0.21514312334781618,0.1362204330574105,0.1513767004776409,0.3327508611237968,0.4713375655075581,0.5805975307534812,0.09516196773394474
2.0,0.10927003882163254,0.00600832536087945,0.0018440104423206993,0.0013933614448763268,0.0017109392832461,0.0032905921854222003,0.0038675484277284587,0.001931385022940461,0.0017552694415078288,0.0034270404768236423,0.00327812170541948,0.0019949195841633387,0.0019317473187613725,0.0025381112242349882,0.0012766496043430013,0.0017446332669615195,0.0017552694415078288
3.0,0.16390505823244883,0.0005359600878166192,0.0005323110308003993,0.00024354123417879257,0.0003297347394575548,0.00031027845649851085,0.00024909360625875515,0.00026357256898134436,0.00021526427222196606,0.0001325001522750949,0.00019772391879274264,0.0003236193226859829,0.000381925119949414,0.00041773863483228013,0.00021180747092977873,0.000414522304135731,0.00019772391879274264
4.0,0.21854007764326508,0.00011416055427497095,0.00013338864527207207,0.00013931573069677022,0.00011138090471328769,0.00012003763354894646,0.00010116713180513288,0.0001163908373941221,0.00012369071151717068,0.00012219277598524478,6.520912340836907e-05,9.29970107379421e-05,7.425163802174335e-05,4.5479769710836154e-05,8.933590672108917e-05,8.927546013927444e-05,0.00013931573069677022
5.0,0.2731750970540814,9.421645895157634e-05,6.0180493155320626e-05,4.7331498659755996e-05,6.525869394862673e-05,7.852401547523037e-05,7.568822133137946e-05,5.047248967203632e-05,6.342820396463162e-05,5.832177348331056e-05,6.985667039392031e-05,7.626118167010305e-05,8.181227644445268e-05,8.345793153694879e-05,7.68633045581386e-05,9.26692498759666e-05,8.345793153694879e-05
6.0,0.32781011646489766,4.568513349027304e-05,3.5119999538106784e-05,4.5200239782125756e-05,5.177406760060039e-05,5.0279711581036496e-05,5.3060994256111805e-05,5.9987333853625064e-05,5.382236238067901e-05,5.292763061556373e-05,4.6487099994600034e-05,5.425684639887685e-05,5.9970294962707345e-05,4.8809626289464286e-05,4.7408649229855725e-05,3.7610727738421486e-05,3.7610727738421486e-05
7.0,0.3824451358757139,2.8542934539362074e-05,2.825032106862081e-05,1.763344110374107e-05,2.355197925682143e-05,4.559665006124439e-05,3.675020523039579e-05,2.902183125695569e-05,3.763866147233854e-05,3.8391103743411315e-05,3.891606640053952e-05,2.795214775696078e-05,2.164028904986308e-05,1.3051484828420501e-05,2.587345917477733e-05,2.6200691884135487e-05,2.902183125695569e-05
8.0,0.43708015528653016,2.678248318026155e-05,2.0801359101906895e-05,1.7600879254057346e-05,2.1505969930731033e-05,2.4601698835441952e-05,2.3960069998383657e-05,1.7203236750548437e-05,1.788587038812775e-05,1.7787355893594554e-05,1.3336962949139382e-05,1.5375923593949456e-05,1.7186040512725493e-05,1.2446016884199492e-05,1.4782223314155343e-05,1.7218731570493552e-05,1.5375923593949456e-05
9.0,0.4917151746973465,1.5712775406572123e-05,9.638840544463911e-06,1.1013810492984641e-05,1.3208420465380042e-05,7.76722004603943e-06,7.665576968567373e-06,9.0306081938311e-06,1.0095187433828906e-05,9.96186324325974e-06,7.957092180212186e-06,5.080413942885664e-06,4.383190641084708e-06,7.339858406820037e-06,8.54397036594366e-06,1.0842036516146026e-05,9.638840544463911e-06
10.0,0.5463501941081628,8.439347964332713e-06,1.318560630997385e-05,1.0398323377660286e-05,1.0260598742661564e-05,9.674610994151733e-06,9.217143841728625e-06,9.782678821527725e-06,8.404468926809807e-06,7.497336793275465e-06,9.03854028043735e-06,9.711925232698307e-06,9.844677591722968e-06,1.2133405001459955e-05,1.144041432145941e-05,1.2274550258112273e-05,1.2133405001459955e-05
11.0,0.6009852135189789,1.4849701237069998e-05,6.473259948816938e-06,7.175020000295411e-06,7.238051955161589e-06,6.896911659847904e-06,7.250439742823413e-06,7.371436636136326e-06,9.359597982506193e-06,9.560720119160683e-06,9.81973511410998e-06,9.060902395267348e-06,1.1159167159417709e-05,1.0196993806017936e-05,1.0559556219531498e-05,1.2061766067915455e-05,6.473259948816938e-06
12.0,0.6556202329297953,1.674536151101152e-05,9.365221003165173e-06,9.82144427778487e-06,1.2422706012052332e-05,1.1598950444580433e-05,9.950496699334262e-06,7.657857882905324e-06,1.1332772064709913e-05,1.3889264173150906e-05,1.2553650401171797e-05,9.524976784600014e-06,1.339862766837002e-05,1.4087087449346175e-05,1.6164654758837748e-05,1.6500522388310128e-05,9.82144427778487e-06
13.0,0.7102552523406116,6.4143134158070706e-06,8.338571550046942e-06,7.227125457540377e-06,7.069457009917421e-06,5.868772054921119e-06,6.961116746490008e-06,1.1592968864806797e-05,8.942723671087271e-06,8.155266251832667e-06,7.889804782579247e-06,8.314249569152598e-06,7.943535874177404e-06,8.364396253352637e-06,8.951454659835743e-06,7.686654452432921e-06,7.069457009917421e-06
